INFO:root:Input: {'sepal_length': 5.1, 'sepal_width': 3.5, 'petal_length': 1.4, 'petal_width': 0.2} -> Prediction: 0
INFO:root:Input: {'sepal_length': 8.0, 'sepal_width': 1.0, 'petal_length': 1.0, 'petal_width': 1.0} -> Prediction: 1
INFO:root:Input: {'sepal_length': 1.2, 'sepal_width': 1.5, 'petal_length': 1.5, 'petal_width': 1.3} -> Prediction: 0
INFO:root:Input: {'sepal_length': 1.3, 'sepal_width': 1.0, 'petal_length': 2.0, 'petal_width': 5.0} -> Prediction: 2
INFO:root:Input: {'sepal_length': 1.0, 'sepal_width': 1.0, 'petal_length': 1.0, 'petal_width': 1.0} -> Prediction: 0
2025-07-27 22:00:53,762 INFO: Input: {'sepal_length': 0.2, 'sepal_width': 0.3, 'petal_length': 0.4, 'petal_width': 0.8} → Prediction: 0
2025-07-27 22:01:08,721 INFO: Input: {'sepal_length': 2.0, 'sepal_width': 1.0, 'petal_length': 3.0, 'petal_width': 4.0} → Prediction: 2
2025-07-27 22:01:20,646 INFO: Input: {'sepal_length': 4.0, 'sepal_width': 3.0, 'petal_length': 5.0, 'petal_width': 6.0} → Prediction: 2
2025-07-27 22:01:29,186 INFO: Input: {'sepal_length': 10.0, 'sepal_width': 3.0, 'petal_length': 5.0, 'petal_width': 6.0} → Prediction: 2
2025-07-27 22:03:09,135 INFO: Input: {'sepal_length': 5.1, 'sepal_width': 3.5, 2025-07-30'petal_length': 1.4, 'petal_width': 0.2} → Prediction: 0
2025-07-27 22:03:20,758 INFO: Input: {'sepal_length': 5.0, 'sepal_width': 2.0, 'petal_length': 0.5, 'petal_width': 0.2} → Prediction: 0
2025-07-27 22:04:19,215 INFO: Input: {'sepal_length': 5.1, 'sepal_width': 3.5, 'petal_length': 1.4, 'petal_width': 0.2} → Prediction: 0
2025-07-27 22:04:24,579 INFO: Input: {'sepal_length': 5.1, 'sepal_width': 3.5, 'petal_length': 2.0, 'petal_width': 0.2} → Prediction: 0
2025-07-27 22:23:40,666 INFO: Input: {'sepal_length': 8.0, 'sepal_width': 3.0, 'petal_length': 5.0, 'petal_width': 6.0} → Prediction: 2
2025-07-27 22:23:41,958 INFO: Input: {'sepal_length': 8.0, 'sepal_width': 3.0, 'petal_length': 5.0, 'petal_width': 6.0} → Prediction: 2
2025-07-27 22:23:42,564 INFO: Input: {'sepal_length': 8.0, 'sepal_width': 3.0, 'petal_length': 5.0, 'petal_width': 6.0} → Prediction: 2
2025-07-27 22:32:29,755 INFO: Input: {'sepal_length': 1.0, 'sepal_width': 1.0, 'petal_length': 1.0, 'petal_width': 1.0} → Prediction: 0
2025-07-27 22:32:34,650 INFO: Input: {'sepal_length': 8.0, 'sepal_width': 3.0, 'petal_length': 5.0, 'petal_width': 6.0} → Prediction: 2
2025-07-27 22:32:35,189 INFO: Input: {'sepal_length': 8.0, 'sepal_width': 3.0, 'petal_length': 5.0, 'petal_width': 6.0} → Prediction: 2
2025-07-27 22:32:35,715 INFO: Input: {'sepal_length': 8.0, 'sepal_width': 3.0, 'petal_length': 5.0, 'petal_width': 6.0} → Prediction: 2
2025-07-27 22:32:36,204 INFO: Input: {'sepal_length': 8.0, 'sepal_width': 3.0, 'petal_length': 5.0, 'petal_width': 6.0} → Prediction: 2
2025-07-27 22:32:36,880 INFO: Input: {'sepal_length': 8.0, 'sepal_width': 3.0, 'petal_length': 5.0, 'petal_width': 6.0} → Prediction: 2
 16:23:25,074 INFO: Input: {'sepal_length': 8.0, 'sepal_width': 8.0, 'petal_length': 8.0, 'petal_width': 8.0} → Prediction: 2
2025-07-30 16:47:09,063 INFO: Input: {'sepal_length': 1.0, 'sepal_width': 1.0, 'petal_length': 1.0, 'petal_width': 1.0} → Prediction: 0
2025-07-30 17:01:56,053 INFO: Input: {'sepal_length': 4.0, 'sepal_width': 6.0, 'petal_length': 4.0, 'petal_width': 6.0} → Prediction: 2
2025-07-30 17:03:11,473 INFO: Input: {'sepal_length': 5.0, 'sepal_width': 5.0, 'petal_length': 5.0, 'petal_width': 5.0} → Prediction: 2
2025-08-03 12:08:59,633 INFO: Input: {'sepal_length': 2.1, 'sepal_width': 4.5, 'petal_length': 9.4, 'petal_width': 0.2} → Prediction: 2
2025-08-03 06:42:47,526 INFO: Input: {'sepal_length': 2.1, 'sepal_width': 2.1, 'petal_length': 2.1, 'petal_width': 2.1} → Prediction: 0
2025-08-03 13:02:53,854 INFO: Input: {'sepal_length': 2.1, 'sepal_width': 1.5, 'petal_length': 1.4, 'petal_width': 1.2} → Prediction: 0
2025-08-03 13:03:10,441 INFO: Input: {'sepal_length': 2.1, 'sepal_width': 3.5, 'petal_length': 2.5, 'petal_width': 9.2} → Prediction: 2
2025-08-03 07:37:00,312 INFO: Input: {'sepal_length': 2.0, 'sepal_width': 3.5, 'petal_length': 4.2, 'petal_width': 5.6} → Prediction: 2
